# main 53679a8
# go1.27.1 darwin/arm64, recorded 2026-09-04T16:02Z
# go test -run='^$' -bench=. -benchmem -benchtime=100ms -count=6
goos: darwin
goarch: arm64
pkg: github.com/joshmedeski/sesh/v2/lister
cpu: Apple M4 Max
BenchmarkCachingListerApplyFilters/n=100/passthrough-16        	29850433	         4.055 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=100/passthrough-16        	30067342	         4.099 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=100/source-filter-16      	   61647	      1959 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/source-filter-16      	   59779	      2030 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/source-filter-16      	   62895	      1917 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/source-filter-16      	   58128	      1951 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/source-filter-16      	   60238	      1973 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/source-filter-16      	   61578	      1953 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-attached-16      	  474643	       250.6 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-attached-16      	  535764	       248.9 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-attached-16      	  495662	       255.4 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-attached-16      	  481057	       252.6 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-attached-16      	  445124	       260.5 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-attached-16      	  475867	       267.7 ns/op	    1792 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-duplicates-16    	    5119	     24580 ns/op	   21000 B/op	      42 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-duplicates-16    	    5061	     24235 ns/op	   21000 B/op	      42 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-duplicates-16    	    5210	     24051 ns/op	   21000 B/op	      42 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-duplicates-16    	    5210	     23887 ns/op	   21000 B/op	      42 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-duplicates-16    	    5091	     24135 ns/op	   21000 B/op	      42 allocs/op
BenchmarkCachingListerApplyFilters/n=100/hide-duplicates-16    	    5362	     23637 ns/op	   21000 B/op	      42 allocs/op
BenchmarkCachingListerApplyFilters/n=100/picker-defaults-16    	    4855	     25997 ns/op	   26776 B/op	      50 allocs/op
BenchmarkCachingListerApplyFilters/n=100/picker-defaults-16    	    4903	     29186 ns/op	   26776 B/op	      50 allocs/op
BenchmarkCachingListerApplyFilters/n=100/picker-defaults-16    	    4958	     25848 ns/op	   26776 B/op	      50 allocs/op
BenchmarkCachingListerApplyFilters/n=100/picker-defaults-16    	    4904	     25858 ns/op	   26776 B/op	      50 allocs/op
BenchmarkCachingListerApplyFilters/n=100/picker-defaults-16    	    4854	     25851 ns/op	   26776 B/op	      50 allocs/op
BenchmarkCachingListerApplyFilters/n=100/picker-defaults-16    	    5005	     25667 ns/op	   26776 B/op	      50 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/passthrough-16       	29776674	         4.016 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/passthrough-16       	29775138	         3.972 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/passthrough-16       	30531110	         3.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/passthrough-16       	30061060	         4.021 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/passthrough-16       	29374866	         4.093 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/passthrough-16       	30746564	         3.943 ns/op	       0 B/op	       0 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/source-filter-16     	    5598	     20906 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/source-filter-16     	    6147	     20667 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/source-filter-16     	    6258	     20385 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/source-filter-16     	    6183	     20052 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/source-filter-16     	    6214	     20614 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/source-filter-16     	    6198	     20982 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-attached-16     	   58903	      2010 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-attached-16     	   57524	      2028 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-attached-16     	   59301	      2019 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-attached-16     	   59934	      2038 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-attached-16     	   55096	      2078 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-attached-16     	   59176	      2061 ns/op	   16384 B/op	       1 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-duplicates-16   	     457	    262480 ns/op	  208264 B/op	      93 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-duplicates-16   	     457	    267288 ns/op	  208264 B/op	      93 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-duplicates-16   	     457	    264794 ns/op	  208264 B/op	      93 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-duplicates-16   	     462	    259230 ns/op	  208264 B/op	      93 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-duplicates-16   	     463	    259494 ns/op	  208264 B/op	      93 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/hide-duplicates-16   	     464	    263164 ns/op	  208264 B/op	      93 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/picker-defaults-16   	     446	    274463 ns/op	  245128 B/op	      95 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/picker-defaults-16   	     448	    268346 ns/op	  245128 B/op	      95 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/picker-defaults-16   	     439	    273831 ns/op	  245128 B/op	      95 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/picker-defaults-16   	     440	    271228 ns/op	  245128 B/op	      95 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/picker-defaults-16   	     441	    272094 ns/op	  245128 B/op	      95 allocs/op
BenchmarkCachingListerApplyFilters/n=1000/picker-defaults-16   	     444	    268934 ns/op	  245129 B/op	      95 allocs/op
BenchmarkFindTmuxSessionByBase/n=10-16                         	  514533	       223.8 ns/op	     544 B/op	       8 allocs/op
BenchmarkFindTmuxSessionByBase/n=10-16                         	  621706	       218.7 ns/op	     544 B/op	       8 allocs/op
BenchmarkFindTmuxSessionByBase/n=10-16                         	  552729	       222.5 ns/op	     544 B/op	       8 allocs/op
BenchmarkFindTmuxSessionByBase/n=10-16                         	  563456	       260.1 ns/op	     544 B/op	       8 allocs/op
BenchmarkFindTmuxSessionByBase/n=10-16                         	  546987	       254.0 ns/op	     544 B/op	       8 allocs/op
BenchmarkFindTmuxSessionByBase/n=10-16                         	  509310	       229.0 ns/op	     544 B/op	       8 allocs/op
BenchmarkFindTmuxSessionByBase/n=100-16                        	   86634	      1406 ns/op	    3571 B/op	      42 allocs/op
BenchmarkFindTmuxSessionByBase/n=100-16                        	   83647	      1398 ns/op	    3571 B/op	      42 allocs/op
BenchmarkFindTmuxSessionByBase/n=100-16                        	   87835	      1383 ns/op	    3571 B/op	      42 allocs/op
BenchmarkFindTmuxSessionByBase/n=100-16                        	   85195	      1392 ns/op	    3571 B/op	      42 allocs/op
BenchmarkFindTmuxSessionByBase/n=100-16                        	   86044	      1388 ns/op	    3571 B/op	      42 allocs/op
